variety,harvest_code,location,treatment,state,quality_overall,watercore,tree_vigor,fruit_drop,red_pct,color_pattern,comments,coarse_texture,harvest_load,fruit_load,eating_quality,scab_susc,brix,flavor,flesh_color,firm_or_soft,firmness_value,ground_color,over_color,image_url,size,shape,weight_grams,harvest_window,russeting,season,biennial,storage_quality,evaluation_date,drop_status,rootstock,preharvest_drop_pct,drop_location,texture,CAR_susc,fireblight_susc,skin_feel,skin_thick,starch_index,DA_meter,tree_habit,tree_vigor2,brix_numeric,firmness_numeric,red_pct_numeric,starch_numeric,routing,is_premium,size_numeric,season_numeric
Gibson Golden Delicious,,Belchertown,no,MA,excellent,,medium,faint,0,,very nice,absent,,medium-heavy,excellent,,15.1,mostly sweet,cream-white,crisp melting,3.1,green-yellow,yellow,http://flic.kr/p/8FPSmh,medium-large,symmetrical-conical-somewhat typey,228.0,October 1-15,somewhat conspicuous,late,,excellent,10/2/2010,few,B.9,5,stem,fine,,,dry,average,13.3,6.5+,upright-spreading,medium-strong,15.1,3.1,0.0,13.3,fresh_premium,False,3,5
CrimsonTopaz,,Belchertown,,MA,very good,,medium,faint,85,stripe-blush,,absent,,medium-heavy,very good,,16.3,tart,cream-yellow,crisp,3.2,green-yellow,orange-red,,medium-large,symmetrical-somewhat oblate,236.0,,somewhat conspicuous,late,,very good,10/5/2010,nil,,<5,stem,fine,,resistant,dry-very slightly greasy,average,13.3,6.5,spreading-upright,medium,16.3,3.2,85.0,13.3,fresh_premium,False,3,5
Desert Rose Fuji,,Belchertown,no,MA,good,,medium,faint,75,blush,"wait one week to pick or spot-pick now by color; quality extremely sensitive to crop load, hard to get right",absent,,medium-heavy,good,,16,sweet,cream-white,medium melting,3.2,green,pink-red,http://fruit.umext.umass.edu/images/2010apple/desertrosefuji1005.jpg,medium-large,symmetrical-round,232.0,October 1-15,conspicuous,late,,good,10/5/2010,nil,,<5 variable,stem,medium,,,dry,average,13.1,6.4,spreading,weak-medium,16.0,3.2,75.0,13.1,fresh_standard,False,3,5
Autumn Rose Fuji,,Belchertown,no,MA,good,,medium,faint,65,blush with hint of stripe,wait one week to pick,absent,,medium-heavy,good,,16.7,sweet,cream-yellow,medium melting,3.1,green-yellow,pink-red,http://fruit.umext.umass.edu/images/2010apple/autumnrosefuji1005.jpg,medium-large,somewhat irregular-oblong,227.0,October 1-15,conspicuous,late,,good,10/5/2010,nil,,nil,,,,,dry,average,14.3,5.9,spreading,weak-medium,16.7,3.1,65.0,14.3,fresh_standard,False,3,5
Stark Little Jewel,,Belchertown,no,MA,very good,,medium,faint,90,solid-blush,"despite low starch index, could probably be picked or wait a week; interesting apple",absent,,medium,very good,,20.1,tart-sweet,cream-white,medium melting,3.1,green,red,http://fruit.umext.umass.edu/images/2010apple/starklittlejewel1005.jpg,medium,somewhat typey-conical,227.0,October 1-15,somewhat conspicuous,late,,very good,10/5/2010,nil,M.26,5-10,stem,fine,,unknown,dry,,13.1,3.9,upright-spreading,medium-strong,20.1,3.1,90.0,13.1,fresh_premium,False,3,5
Brandt Giant Fuji?,,Belchertown,no,MA,fair,,medium,faint,75,solid-blush,"may need to get out of juvenility, otherwise nothing great",absent,,light,fair-good,,17.2,"somewhat bland, sweet",cream-white,medium melting,3.35,green,dull red,,"large, variable","rather asymmetrical, round",261.0,October 1-15,conspicuous,late,,fair,10/5/2010,some,,up tp 25,"all over, net-type",medium,,,dry,average,13.9,5.6 (4-7),upright-spreading,medium-strong,17.2,3.35,75.0,13.9,fresh_standard,False,3,5
Rezista Gold,,Belchertown,no,MA,good,,medium,very faint,15,blush,either bitter pit or stink bud injury observed; I like this apple mostly,absent,,medium,fair-good,,14.8," on the bland side, sweet-tart",white,medium melting,3.3,green,orange-bronze,http://fruit.umext.umass.edu/images/2010apple/rezista-goldstar1005.jpg,medium-large,"mostly symmetrical, oblate",240.0,October 1-15,somewhat conspicuous,late,,fair-good,10/5/2010,nil,M.26,<5,stem,medium,,,dry,average,13.7,6,upright-spreading-drooping,medium-strong,14.8,3.3,15.0,13.7,fresh_standard,False,3,5
Candy Crisp,,Belchertown,no,MA,good,,medium,faint,<5,blush,,absent,,"variable, light to heavy",fair,,15.1,sweet-bland,cream-white,soft-crisp,3.4,green,yellow with touch of red blush,http://fruit.umext.umass.edu/images/2010apple/candycrisp1013.jpg,mostly large,mostly conical-typey,286.0,October 1-15,somewhat conspicuous,late,,fair-good,10/13/2010,few,,generally nil,,,,,dry,average,13,7,upright,medium-strong,15.1,3.4,,13.0,juice,False,3,5
Suncrisp,,Belchertown,no,MA,excellent,,medium,faint,"varies, up to 25%",blush,very nice apple with complex flavor; would make great cider,absent,,medium-heavy,excellent,,16.8,sweet-tart,green-white,medium melting,3.25,green,yellow with orange-red blush,http://fruit.umext.umass.edu/images/2010apple/suncrisp1013.jpg,medium-large,"symmetrical, conical",250.0,October 1-15,somewhat conspicuous,late,,excellent,10/13/2010,few,Bud 9,10,stem,very smooth,,,"dry, unless over-mature",somewhat thin,13.6,6.5,upright-spreading,weak-medium,16.8,3.25,,13.6,fresh_premium,False,3,5
Golden Glory (DS-165),,Belchertown,no,MA,very good,,medium,faint,15,blush,"a nice, blemish-free Golden Delicious; could have been picked 1-2 weeks ago, but still very good quality now; recommended if you can get trees",absent,,medium,very good,,14.8,sweet,cream-yellow,medium melting,3.3,green-yellow,orange-bronze,,medium-large,symmetrical-ovate,236.0,October 1-15,somewhat conspicuous,late,,good-excellent,10/15/2010,some,,5,stem,fine,,,dry,somewhat thin,15.1,7.5,spreading-upright,medium,14.8,3.3,15.0,15.1,fresh_premium,False,3,5
Top Export Fuji,,Pittstown,,NJ,good,,medium,,81,blush-stripe,w/SS of 17.8 most excellent taste this season.,few,calyx,medium-heavy,excellent,,12.4,sweet,cream-yellow,crisp melting,3.37,green-yellow,red,,medium,distinctly typey,245.0,October 16-31,conspicuous,late,,very good,10/18/2010,none,,5,variable,medium,,,not yet,average,17.8,7.4,upright,weak-medium,12.4,3.37,81.0,17.8,fresh_standard,False,3,5
Braeburn,,Pittstown,no,NJ,very good,,weak,no,79,stripe-blush,,few,side,heavy,very good,,14.75,sweet-tart,cream-yellow,crisp,3”,green,red,,large,somewhat irregular,218.0,October 16-31,somewhat conspicuous,late,,good-excellent,10/19/2010,few,,1,lenticels,fine,,,not yet,somewhat thick,14.2,7.4,spreading-drooping,weak,14.75,,79.0,14.2,fresh_premium,False,5,5
Stayman,,Pittstown,,NJ,good,,,,95,solid-blush,some water core. SI range 2-8.,few,calyx,medium,fair,,15.32,tart,cream-yellow,crisp,3.48,green,dark red,,medium-large,distinctly typey,300.0,October 16-31,conspicuous,late,,good,10/18/2010,some,,0,,,,,not yet,thick,15.0,5.6,,,15.32,3.48,95.0,15.0,fresh_standard,False,3,5
Crimson Topaz,,Pittstown,,NJ,very good,,medium,,83.5,blush-stripe,Attractive large crimson fruit. Slight watercore. Picked a bit late.,few,calyx,medium,good,,12.0,tart-sweet,cream-yellow,medium melting,3.48,green,orange-red,,medium-large,distinctly typey,272.0,October 16-31,somewhat conspicuous,late,,very good,10/18/2010,none,,2,calyx,medium,,,slightly greasy,somewhat thick,13.7,8.0,upright-spreading,medium,12.0,3.48,83.5,13.7,fresh_premium,False,3,5
"Kumeu Crimson, Braeburn",,Pittstown,,NJ,good,,medium,no,90,blush,Some stink bug damage..Very attractive otherwise.,few,calyx,medium-heavy,good,,14.28,tart-sweet,cream-yellow,crisp,3.3,green,orange-red,,medium-large,globose,266.0,October 16-31,conspicuous,late,,very good,10/18/2010,,,10,all over,coarse,,,not yet,average,14.0,7.0,,medium,14.28,3.3,90.0,14.0,fresh_standard,False,3,5
Querina,,Pittstown,,NJ,very good,,medium,,99,blush,"Slight water core picked late, maybe as far past as two weeks.",absent,,medium,good,,12.2,sweet,cream-yellow,medium melting,3.28,yellow,dark red,,medium-large,globose,237.0,October 16-31,conspicuous,late,,very good,10/18/2010,none,,0,,,,,slightly greasy,somewhat thick,13.1,8.0,spreading,medium,12.2,3.28,99.0,13.1,fresh_premium,False,3,5
Granny Smith,,Pittstown,,NJ,very good,,medium-strong,no,0,solid,Still early to harvest. Fruit from SuperSlenderSpindle block. Variety not conducive to this growing system.,absent,,light,fair-good,,13.7,tart,white,crisp,3.44,green,green,,large,globose,272.0,October 16-31,conspicuous,late,,good,10/18/2010,some,,2,calyx,coarse,,,not yet,somewhat thick,13.4,4.3,upright,strong,13.7,3.44,0.0,13.4,fresh_premium,False,5,5
Joburn Braeburn,,Belchertown,no,MA,very good,,medium,faint,80,solid-blush with hint of stripe,"some sunburn issues, otherwise very high-quality fruit right now",absent,,heavy,excellent,,18.2,sweet-tart,white,medium melting,2.9,green-yellow,red,http://www.flickr.com/photos/jmcextman/5124329683/in/photostream/,medium,cylindrical-ovoid,206.0,October 16-31,conspicuous,late,,excellent,10/28/2010,nil,B9,0,,,,,slightly greasy,somewhat thin,12.4,6.5,upright-spreading,weak-medium,18.2,2.9,80.0,12.4,fresh_premium,False,3,5
Goldrush,,Belchertown,no,MA,good,,medium-prolific,faint,10 variable,blush,,absent,,heavy,"good, different",,20,tart-sweet with acid,cream-white,medium-hard melting,3.0,green-yellow,bronze,http://www.flickr.com/photos/jmcextman/5124943022/,"small-large, variable",ovoid,206.0,November 1-15,somewhat conspicuous,very late,,good,10/28/2010,nil,M9,"5, variable","variable, sides, net-like",fine,,resistant,dry,somewhat thick,13.8,6,upright-spreading,medium,20.0,3.0,,13.8,fresh_standard,False,1,3
Suncrisp,,Pittstown,full rate,NJ,good,,medium-strong,,1%,solid-blush,a favorite here at the Snyder farm. This years crop slightly light. Some stink bug damage.Fruit flavors develop after storage. Yummm,few,calyx,medium,excellent,,11.8,sweet-tart,cream-yellow,crisp melting,3.6,yellow,slight blush on some,,medium-large,conic,298.0,November 1-15,conspicuous,late,,good,11/3/2010,some,,8%,stem,fine,,,not yet,average,16.9,7.25,upright-spreading,strong,11.8,3.6,,16.9,fresh_standard,False,3,5
Eve Braeburn,,Pittstown,,NJ,good,,medium,no,95,stripe-blush,"Young trees exhibit late stink bug damage, tasty apple.",few,stem,medium,good,,14.1,sweet-tart,cream-yellow,crisp melting,3.25,green,bronze,,medium,conic,247.0,October 16-31,conspicuous,middle,,good,10/22/2010,none,M26,2,stem,fine,,,slightly greasy,average,13.3,7.1,spreading-upright,medium,14.1,3.25,95.0,13.3,fresh_standard,False,3,3
NY 428,,Pittstown,no,NJ,good,,strong,no,94%,blush-stripe,Nice tart apple.One of four trees here.Trees w/upright pyramidal habit.,few,stem,light,good,,11.1,tart,green-white,crisp melting,3.44,green,dark red,,medium,globose,242.0,September 1-15,somewhat conspicuous,middle,,very good,9/15/2010,few,,10%,calyx,medium,,,not yet,average,14.2,7.75,upright,strong,11.1,3.44,,14.2,fresh_standard,False,3,3
Dandee Red McIntosh,,Pittstown,unknown,NJ,good,,medium-strong,yes,50,blush,"Did this testing much too late..Unfair for flavor test, samples from July..",absent,,medium-heavy,poor,,8.3,tart-sweet,cream-white,soft,3.1,green,red,,small-medium,obloid,175.0,July 16-31,conspicuous,early,,poor,7/30/2010,none,M26,0,,,,,not yet,average,10.1,8,spreading-upright,medium,8.3,3.1,50.0,10.1,juice,False,1,1
NJ83,,Hackettstown,full rate,NJ,very good,,,no,45,stripe-blush,"Again apple harvested in August, sampled in November. Unfair to attractive apple, unsure of what flavor to be..",absent,,,fair,,9.6,fruity,white,soft,3.3,green,red,,small-medium,globose,197.0,August 1-15,inconspicuous,,,good,8/15/2010,,M111,0,,,,,not yet,average,12.0,8,,,9.6,3.3,45.0,12.0,fresh_premium,False,1,3
Linda Mac,,Pittstown,,NJ,good,,strong,no,80,blush,Attractive fruit. Latesampling of fruit picked in August..,absent,,heavy,good,,7.5,tart-sweet,white,crisp melting,3,green,red,,small-medium,globose,165.0,,somewhat conspicuous,early,,good,8/30/2010,few,,1,calyx,medium,,,not yet,average,11.7,8,upright,strong,7.5,3.0,80.0,11.7,fresh_standard,False,1,1
Redfree,,Pittstown,,NJ,good,,medium-strong,faint,66,blush-stripe,Latetesting of July harvested apple..,,,medium,fair,,8.6,sweet-tart,cream-white,soft,3.1,green,red,,medium,globose,195.3,,inconspicuous,early,,good,7/30/2010,few,EMLA26,0,,,,,not yet,average,12.0,8,upright,medium-strong,8.6,3.1,66.0,12.0,juice,False,3,1
Golden Supreme,,Pittstown,no,NJ,good,,strong,faint,0,solid,.late sampling of earlier apple,absent,,light-medium,good,,9.1,fruity,cream-white,medium melting,3.2,yellow,yellow,,medium-large,conic,218.0,August 16-31,conspicuous,early-middle,,good,8/23/2010,few,,0,,,,,not yet,average,12.0,8,upright,strong,9.1,3.2,0.0,12.0,fresh_standard,False,3,2
Gold Rush,,Pittstown,,NJ,fair-good,yes,weak,faint,0,solid,This comes from a wet location in our SSS planting. Wet feet have hampered trees/fruit.,absent,,medium,very good,,15.73,fruity,cream-yellow,crisp,2.78,yellow,pink-red,,small,conic,175.0,November 1-15,somewhat conspicuous,late,,fair-good,11/5/2010,few,,5,stem,medium,,,not yet,somewhat thick,16.6,8,spreading,medium,15.73,2.78,0.0,16.6,fresh_standard,False,1,5
Ambrosia,,Pittstown,,NJ,excellent,,medium-strong,faint,"~5, color is pink",blush,"Not as red in color this year, still a very tasty apple.",absent,,light,very good,,14.5,sweet,cream-yellow,crisp melting,3.125,yellow,pink,,small-medium,ovoid,223.0,September 16-30,somewhat conspicuous,early-middle,,very good,9/22/2010,few,,0,,,,,not yet,average,14.0,7.5,upright-spreading,medium-strong,14.5,3.125,,14.0,fresh_premium,True,1,2
Stark Little Jewel,,Pittstown,,NJ,excellent,,strong,faint,95,blush,"Four young trees from Stark Bros. Very promising late variety. As SI at testing is 8, should be picked 10-12 days earlier.",absent,,medium-heavy,excellent,,17.225,tart-sweet,cream-yellow,crisp,3.0,green-yellow,dark red,,medium,ovoid,213.5,November 1-15,conspicuous,late,,excellent,11/16/2010,few,M26,8,stem,medium,,,not yet,somewhat thick,16.6,8.0,spreading-upright,strong,17.225,3.0,95.0,16.6,fresh_premium,False,3,5
Sali Red Delicious,,Pittstown,,NJ,very good,,medium-strong,no,98,blush,Very tasty for RD. Tasting after stored near two months.,absent,,medium-heavy,very good,,12.4,sweet,cream-white,crisp melting,3.3,green-yellow,dark red,,medium,conic,239.7,September 16-30,conspicuous,middle,,very good,9/21/2010,some,M7,0,,,,,not yet,somewhat thick,13.1,8.0,spreading-drooping,medium-strong,12.4,3.3,98.0,13.1,fresh_premium,False,3,3
Ace Spur Red Delicious,,Pittstown,,NJ,very good,,medium-strong,faint,99,solid-stripe,This apple tested today 11/17in storage near two months.,absent,,medium-heavy,fair,,12.6,sweet-bland,cream-white,medium melting,3.1,green-yellow,dark red,,small-medium,conic,200.0,September 16-30,conspicuous,early,,very good,9/21/2010,some,,0,,,,,not yet,somewhat thick,12.4,8.0,upright-spreading,medium-strong,12.6,3.1,99.0,12.4,fresh_premium,False,1,1
Super Chief Red Delicious,,Pittstown,,NJ,very good,,medium-strong,yes,99,blush-stripe,An attractive RD tested after storage 60+ days.,absent,,medium-heavy,good,,13.1,sweet,cream-yellow,crisp melting,3.125,green-yellow,dark red,,medium,"some conic, some irreg ovoid",215.5,September 16-30,conspicuous,early,,very good,9/21/2010,few,,0,,,,,not yet,somewhat thick,14.5,7.2,upright-spreading,medium-strong,13.1,3.125,99.0,14.5,fresh_premium,False,3,1
Oregon Spur Red Delicious,,Pittstown,,NJ,good,,medium-strong,no,80,stripe-blush,"Decent RD, tested 60+days in storage.",absent,,medium-heavy,fair,,12.5,sweet-bland,cream-yellow,crisp melting,3.2,green-yellow,red,,medium,conic/some irreg ovoid,226.0,September 16-30,conspicuous,middle,,good,9/21/2010,some,M26,0,,,,,not yet,somewhat thick,11.8,8,upright-spreading,medium-strong,12.5,3.2,80.0,11.8,fresh_standard,False,3,3
Scarlet Spur Red Delicious,,Pittstown,,NJ,very good,,medium,no,99,solid,Attractve RD in storage 60+ days.,absent,,medium,good,,12.2,sweet,cream-yellow,crisp melting,3.1,green,dark red,,medium,cylindrical waisted ‘typey’/some irreg,227.5,September 16-30,conspicuous,middle,,very good,9/21/2010,few,,0,,,,,not yet,somewhat thick,12.7,8,upright-spreading,medium,12.2,3.1,99.0,12.7,fresh_premium,False,3,3
Silken,,Pittstown,no,NJ,very good,,medium-strong,no,0,blush,An attractive clear yellow apple. In storage near 60 days attime of testing.,absent,,medium,very good,,9.1,sweet,white,crisp melting,3,green,clear yellow,,small-medium,conic,171.0,,somewhat conspicuous,middle,,very good,9/30/2010,some,,5,stem,medium,,,not yet,somewhat thin,12.4,8,upright-spreading,medium-strong,9.1,3.0,0.0,12.4,fresh_premium,False,1,3
Daybreak Fuji,,Pittstown,,NJ,very good,,medium-strong,faint,98,blush,Attractive early Fuji variety. Stored 9/7 tested 11/24,absent,,medium,good,,11.5,delicate fruity,cream-yellow,crisp melting,3.3,green,pink-red,,medium-large,globose/ovoid,249.0,September 1-15,conspicuous,middle,,very good,9/7/2010,few,,5,all over,fine,,,not yet,average,14.2,8,upright,medium-strong,11.5,3.3,98.0,14.2,fresh_premium,False,3,3
Morning Mist Fuji,,Pittstown,,NJ,very good,,medium,faint,99,blush,Another attractive early Fuji variety. Very pretty apple.,absent,,medium,very good,,11.1,delicate fruity,cream-yellow,medium melting,3.3,green-yellow,pink-red,,medium-large,globose,242.0,September 1-15,conspicuous,early-middle,,very good,9/7/2010,few,B9,0,,,,,not yet,average,13.2,8,upright-spreading,medium,11.1,3.3,99.0,13.2,fresh_premium,False,3,2
Rising Sun Fuji,,Pittstown,,NJ,very good,,medium-strong,faint,98,blush,An attractive flavorful early Fuji,absent,,medium,very good,,11.3,delicate fruity,cream-yellow,crisp melting,3.3,green-yellow,pink-red,,medium-large,globose,236.0,September 1-15,conspicuous,early-middle,,very good,9/7/2010,few,B9,0,,,,,not yet,average,13.5,8,upright-spreading,medium-strong,11.3,3.3,98.0,13.5,fresh_premium,False,3,2
September Wonder Fuji,,Pittstown,,NJ,very good,,medium-strong,faint,98,blush,An attractive tasty early Fuji. Stored 9/7 tested 11/24/10,absent,,medium,very good,,11.5,delicate fruity,cream-yellow,medium melting,3.2,green-yellow,pink-red,,medium-large,globose,221.3,September 1-15,conspicuous,early-middle,,very good,9/7/2010,few,B9,3,body,fine,,,not yet,average,13.9,8,upright-spreading,medium-strong,11.5,3.2,98.0,13.9,fresh_premium,False,3,2
Dandeered,,Pittstown,no,NJ,good,,medium,faint,80,blush,harvested a few days past optimum maturity,absent,,light,fair,,13.38,"tart, watery",cream-white,crisp,,green,red,,gargantuan,oblate,,August 1-15,inconspicuous,,,good,8/15/2011,a lot,,0,,,,,greasy,average,12.5,7.5,drooping,medium,13.38,,80.0,12.5,fresh_standard,False,3,3
Redfree,,Pittstown,,NJ,good,,medium-strong,,60,stripe-blush,,,,medium-heavy,,,13.4,sweet-tart,,crisp melting,,white-green,red,,,,,,,early,,,8/2/2011,few,,,,,,,,,11.9,6.85,spreading-upright,medium-strong,13.4,,60.0,11.9,fresh_standard,False,3,1
Pristine,,Pittstown,,NJ,fair,,,,0,solid,,,,,,,11.17,sweet,,,,white-yellow,yellow,,,,,,inconspicuous,,,,7/26/2011,,,,,,,,,,14.9,7.2,,,11.17,,0.0,14.9,fresh_standard,False,3,3
Paulared,,Belchertown,no,MA,fair,,medium,faint,75,blush,some water core; tart,absent,,medium-heavy,fair,susceptible,15.1,tart,green-white,soft,3.1,green,red,http://fruit.umext.umass.edu/2011apple/paulared0819.jpg,medium-large,globose,184.0,August 16-31,inconspicuous,early,mildew-susceptible,fair-good,8/19/2011,some,,nil,,,,susceptible,dry,average,11,3.5 (2-5),spreading-drooping,medium-strong,15.1,3.1,75.0,11.0,juice,False,3,1
Dandeered,,Belchertown,,MA,excellent,,weak,faint,95,solid,"a  little earlier and superior to Paulared; uniform maturity and color, one pick",absent,,medium-heavy,very good,,14.1,sweet-tart,green-white,medium,3.25,green,dark red,http://fruit.umext.umass.edu/2011apple/dandeered0819.jpg,large,globose,200.0,,inconspicuous,early,,good-excellent,8/19/2011,few,M.9,nil,,,,,dry,average,10.8,3.25,spreading-drooping,medium,14.1,3.25,95.0,10.8,fresh_premium,False,5,1
Sansa,,Belchertown,,MA,good,,medium,faint,50,blush-stripe,seems to be a bit off-flavor this year?,absent,,medium-heavy,very good,,14.8,sweet,cream-yellow,medium melting,2.95,green-yellow,orange-red,http://fruit.umext.umass.edu/2011apple/sansa0819.jpg,medium,conic,179.0,,somewhat conspicuous,early,,good,8/19/2011,nil,,nil,,,,,slightly greasy,somewhat thin,11.4,4.5 (4-6),spreading,weak-medium,14.8,2.95,50.0,11.4,fresh_standard,False,3,1
Zestar!,,Belchertown,no,MA,good,,medium,yes,60,solid-blush,,absent,,medium-heavy,fair,,13.47,sweet-tart,cream-yellow,medium melting,3.2,green-yellow,pink-red,http://fruit.umext.umass.edu/2011apple/zestarapple0826.jpg,medium-large,somewhat globose,204.0,August 16-31,somewhat conspicuous,early,,fair-good,8/26/2011,few,,<5,stem,medium,,susceptible,dry,average,13.5,5.4,upright-spreading,medium,13.47,3.2,60.0,13.5,fresh_standard,False,3,1
Ginger Gold,,Belchertown,no,MA,excellent,,medium-strong,faint,10,blush,"Does not starch test well, nice and yellow with red cheek, ready to pick for sure",absent,,medium-heavy,very good,susceptible,18.2,sweet,white,medium melting,3.35,green-yellow,orange-red,http://fruit.umext.umass.edu/2011apple/gingergoldapple0826.jpg,large,conic,253.0,August 16-31,inconspicuous,early,,good-excellent,8/26/2011,some,,<5,stem,fine,,,dry,somewhat thin,11.5,2.5,spreading-upright,medium-strong,18.2,3.35,10.0,11.5,fresh_premium,False,5,1
Minneiska,,Belchertown,,MA,fair,,medium,faint,60,solid-blush,pineapple-like flavor; pick next week,absent,,medium,excellent,,15.4,tart-sweet,cream-yellow,crisp melting,3.2,green-yellow,orange-red,http://fruit.umext.umass.edu/2011apple/minneiskaapple.jpg,medium-large,conic,236.0,,conspicuous,early-middle,,good-excellent,8/26/2011,few,M.9,",10",variable,medium,,,dry,average,11.8,4.6,spreading-drooping,medium,15.4,3.2,60.0,11.8,fresh_standard,False,3,2
Silken,,Belchertown,no,MA,excellent,,medium,faint,,,bruises easily; not ready for pick for one week still,absent,,medium-heavy,very good,,16.1,tart-sweet,white,fine melting,3.0,green-yellow,absent,http://fruit.umext.umass.edu/2011apple/silken0829.jpg,medium-large,cylindrical waisted ‘typey’,200.0,September 1-15,somewhat conspicuous,early-middle,,good-excellent,8/29/2011,nil,M.9,<5,stem,fine,,susceptible,dry,somewhat thin,11.2,3.5,spreading,medium,16.1,3.0,,11.2,fresh_premium,False,3,2
Rubymac,,Belchertown,no,MA,excellent,,medium,faint,95,solid-blush,wait one week to pick,absent,,medium-heavy,fair-good,,16.2,very tart,green-white,soft,3.0,green,dark red,http://fruit.umext.umass.edu/2011apple/rubymac0829.jpg,medium,globose,174.0,September 1-15,inconspicuous,early-middle,,very good,8/29/2011,nil,M.9,<5,side-net,fine,,susceptible,dry,average,10.4,3,upright-spreading,medium,16.2,3.0,95.0,10.4,fresh_premium,False,3,2
Lindamac,,Belchertown,no,MA,good,,medium,faint,60,stripe-blush,do not pick until one more week has passed,absent,,very heavy,good,,16.5,very tart,green-white,soft,2.95,green,red,http://fruit.umext.umass.edu/2011apple/lindamac0829.jpg,medium,globose,163.0,September 1-15,inconspicuous,middle,,good,8/29/2011,few,M.9,0,,,,susceptible,dry,average,10,3.5,upright-spreading,medium,16.5,2.95,60.0,10.0,juice,False,3,3
Honeycrisp,,Westfield,unknown,MA,very good,,medium,faint,65,stripe-blush,definitely ready for 1st-pick by color,absent,,medium,excellent,,17,tart-sweet,cream-yellow,crisp melting,3.3,green-yellow,orange-red,http://fruit.umext.umass.edu/2011apple/hcrwestfield090211.jpg,medium,ovoid,255.0,September 1-15,somewhat conspicuous,early-middle,,good-excellent,9/2/2011,nil,M.9`,,,,,,dry,somewhat thin,13,6(3.5-7.5),spreading,medium,17.0,3.3,65.0,13.0,fresh_premium,True,3,2
Honeycrisp,,Belchertown,no,MA,fair-good,,medium,faint,45,stripe-blush,not nearly as nice as the Westfiled Honeycrisp picked same day; surprised at lack of starch; need to 1st pick on color for sure; one with moldy core,absent,,medium-heavy,fair-good,,15,fruity,cream-yellow,medium melting,3.2,green,orange-red,http://fruit.umext.umass.edu/2011apple/hcrcsorec090211.jpg,medium-large,conic,238.0,,somewhat conspicuous,early-middle,,fair-good,9/2/2011,few,b.9,<5,stem,fine,,,dry,somewhat thin,10.8,6.55 (3.5-8),spreading,medium,15.0,3.2,45.0,10.8,fresh_standard,True,3,2
Lindamac,,Westfield,unknown,MA,excellent,,medium-strong,yes,,solid-blush,not ready to pick yet despite color,absent,,medium,fair-good,,14.7,very tart,green-white,crisp,3.1,green,red,http://fruit.umext.umass.edu/2011apple/lindamacwestfield090211.jpg,medium,globose,175.0,September 1-15,somewhat conspicuous,middle,,good,9/2/2011,few,M.9,0,,,,very susceptible,dry,average,12,3.9,upright-spreading,medium,14.7,3.1,,12.0,fresh_premium,False,3,3
Gale Gala,,Westfield,unknown,MA,fair-good,,medium,faint,95,solid-blush,"not the best Gala for sure, somewhat appearance of scarf-skin, small fruit size, some russet",absent,,medium,fair-good,,23,sweet,cream-white,hard melting,2.8,green-yellow,orange-red,http://fruit.umext.umass.edu/2011apple/galegalawestfield090211.jpg,small-medium,conic,157.0,September 1-15,conspicuous,middle,,fair-good,9/2/2011,none,M.9,5,stem mostly,fine,,,dry,average,13,3.5 (3-5),spreading,medium,23.0,2.8,95.0,13.0,fresh_standard,False,1,3
Daybreak Fuji,,Northboro,full rate,MA,good,tendency,medium,faint,60,solid-blush,"not ready to pick, wait for sugar to come up (give it until next week)",absent,,medium,fair-good,,14.5,tart-sweet,cream-white,fine melting,3.1,light green,dull red,http://fruit.umext.umass.edu/2011apple/dbfuji090711.jpg,medium-large,somewhat conic,208.0,September 16-30,somewhat conspicuous,middle,,fair-good,9/7/2011,none,M.9,0,,,,,dry,average,10.8,4.6 (3-8),spreading,medium,14.5,3.1,60.0,10.8,fresh_standard,False,3,3
Blondee,,Belchertown,no,MA,good,tendency,medium,faint,<5,blush,perfect matuity (tree ripe),very few,stem,light-medium,very good,,16.2,sweet,cream-yellow,fine melting,3.1,green-yellow,absent-hint of orange,http://fruit.umext.umass.edu/2011apple/blondeefruit090811.jpg,medium,somewhat conic,215.0,September 1-15,conspicuous,early-middle,,very good,9/8/2011,some,M.9,5-10,all over,fine,,susceptible,slightly greasy,somewhat thin,12.1,6 (5-7),upright-spreading,medium,16.2,3.1,,12.1,fresh_standard,False,3,2
Buckeye Gala,,Belchertown,no,MA,very good,tendency,medium,faint,nearly 100,solid-stripe,ready to pick for sure,absent right now,,medium-heavy,good,,14.2,sweet,cream-yellow,fine melting,3.0,cream yellow,dark red,http://fruit.umext.umass.edu/2011apple/buckeyegalalfruit090811.jpg,medium,conic,208.0,September 1-15,somewhat conspicuous,middle,,good,9/8/2011,nil,various,<5,stem,fine,,,slightly greasy,average,11.3,6.5,upright-spreading,medium,14.2,3.0,,11.3,fresh_premium,False,3,3
Cherry Gala (Brandt),,Belchertown,no,MA,very good (when no russet),,medium,faint,95,solid-blush,some russet; no that much different from Buckeye?; does seem to be large,absent,,light-medium,fair-good,,16.1,very sweet,white,fine melting,3.1,cream yellow,dark bright red,http://fruit.umext.umass.edu/2011apple/cherrygalafruit090811.jpg,medium-large,conic,220.0,September 1-15,somewhat conspicuous,middle,,fair-good,9/8/2011,few,,10-15%,"variable, sides",medium,,,slightly greasy,average,13.6,6.5,upright-spreading,medium-strong,16.1,3.1,95.0,13.6,fresh_premium,False,3,3
